time_iso8601,stars_cumulative
2024-04-01 00:00:00+00:00,535
2024-04-02 00:00:00+00:00,537
2024-04-03 00:00:00+00:00,540
2024-04-04 00:00:00+00:00,542
2024-04-05 00:00:00+00:00,543
2024-04-06 00:00:00+00:00,544
2024-04-07 00:00:00+00:00,546
2024-04-08 00:00:00+00:00,547
2024-04-10 00:00:00+00:00,548
2024-04-11 00:00:00+00:00,552
2024-04-12 00:00:00+00:00,556
2024-04-14 00:00:00+00:00,557
2024-04-15 00:00:00+00:00,558
2024-04-16 00:00:00+00:00,562
2024-04-17 00:00:00+00:00,567
2024-04-18 00:00:00+00:00,571
2024-04-19 00:00:00+00:00,576
2024-04-21 00:00:00+00:00,577
2024-04-22 00:00:00+00:00,580
2024-04-23 00:00:00+00:00,584
2024-04-24 00:00:00+00:00,587
2024-04-25 00:00:00+00:00,589
2024-04-26 00:00:00+00:00,592
2024-04-27 00:00:00+00:00,595
2024-04-29 00:00:00+00:00,596
2024-04-30 00:00:00+00:00,601
2024-05-01 00:00:00+00:00,605
2024-05-02 00:00:00+00:00,607
2024-05-03 00:00:00+00:00,608
2024-05-04 00:00:00+00:00,609
2024-05-06 00:00:00+00:00,611
2024-05-08 00:00:00+00:00,613
2024-05-09 00:00:00+00:00,617
2024-05-10 00:00:00+00:00,620
2024-05-11 00:00:00+00:00,622
2024-05-12 00:00:00+00:00,623
2024-05-13 00:00:00+00:00,624
2024-05-14 00:00:00+00:00,631
2024-05-16 00:00:00+00:00,633
2024-05-17 00:00:00+00:00,635
2024-05-19 00:00:00+00:00,636
2024-05-20 00:00:00+00:00,637
2024-05-21 00:00:00+00:00,638
2024-05-22 00:00:00+00:00,861
2024-05-23 00:00:00+00:00,1391
2024-05-24 00:00:00+00:00,1617
2024-05-25 00:00:00+00:00,1841
2024-05-26 00:00:00+00:00,1939
2024-05-27 00:00:00+00:00,1999
2024-05-28 00:00:00+00:00,2029
2024-05-29 00:00:00+00:00,2063
2024-05-30 00:00:00+00:00,2078
2024-05-31 00:00:00+00:00,2101
2024-06-01 00:00:00+00:00,2117
2024-06-02 00:00:00+00:00,2126
2024-06-03 00:00:00+00:00,2140
2024-06-04 00:00:00+00:00,2154
2024-06-05 00:00:00+00:00,2165
2024-06-06 00:00:00+00:00,2174
2024-06-07 00:00:00+00:00,2187
2024-06-08 00:00:00+00:00,2208
2024-06-09 00:00:00+00:00,2221
2024-06-10 00:00:00+00:00,2237
2024-06-11 00:00:00+00:00,2244
2024-06-12 00:00:00+00:00,2251
2024-06-13 00:00:00+00:00,2260
2024-06-14 00:00:00+00:00,2269
2024-06-15 00:00:00+00:00,2271
2024-06-16 00:00:00+00:00,2275
2024-06-17 00:00:00+00:00,2288
2024-06-18 00:00:00+00:00,2295
2024-06-19 00:00:00+00:00,2311
2024-06-20 00:00:00+00:00,2372
2024-06-21 00:00:00+00:00,2397
2024-06-22 00:00:00+00:00,2411
2024-06-23 00:00:00+00:00,2434
2024-06-24 00:00:00+00:00,2450
2024-06-25 00:00:00+00:00,2458
2024-06-26 00:00:00+00:00,2461
2024-06-27 00:00:00+00:00,2469
2024-06-28 00:00:00+00:00,2478
2024-06-29 00:00:00+00:00,2483
2024-06-30 00:00:00+00:00,2489
2024-07-01 00:00:00+00:00,2493
2024-07-02 00:00:00+00:00,2504
2024-07-03 00:00:00+00:00,2508
2024-07-04 00:00:00+00:00,2515
2024-07-05 00:00:00+00:00,2519
2024-07-06 00:00:00+00:00,2523
2024-07-07 00:00:00+00:00,2525
2024-07-08 00:00:00+00:00,2532
2024-07-09 00:00:00+00:00,2541
2024-07-10 00:00:00+00:00,2544
2024-07-11 00:00:00+00:00,2556
2024-07-12 00:00:00+00:00,2560
