time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-22 00:00:00+00:00,408,18,160,57
2025-01-23 00:00:00+00:00,159,16,186,66
2025-01-24 00:00:00+00:00,39,8,157,54
2025-01-25 00:00:00+00:00,9,4,25,19
2025-01-26 00:00:00+00:00,3,2,50,17
2025-01-27 00:00:00+00:00,106,6,212,82
2025-01-28 00:00:00+00:00,78,8,239,109
2025-01-29 00:00:00+00:00,137,8,459,253
2025-01-30 00:00:00+00:00,115,22,402,259
2025-01-31 00:00:00+00:00,106,29,453,267
2025-02-01 00:00:00+00:00,52,44,392,250
2025-02-02 00:00:00+00:00,27,6,369,295
2025-02-03 00:00:00+00:00,81,16,390,306
2025-02-04 00:00:00+00:00,125,21,384,288
