time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-10 00:00:00+00:00,277,14,784,470
2024-10-11 00:00:00+00:00,92,10,694,496
2024-10-12 00:00:00+00:00,46,4,597,431
2024-10-13 00:00:00+00:00,7,4,658,466
2024-10-14 00:00:00+00:00,258,23,773,486
2024-10-15 00:00:00+00:00,285,15,759,481
2024-10-16 00:00:00+00:00,123,11,761,481
2024-10-17 00:00:00+00:00,94,10,852,480
2024-10-18 00:00:00+00:00,119,11,695,451
2024-10-19 00:00:00+00:00,40,3,562,432
2024-10-20 00:00:00+00:00,2,2,580,443
2024-10-21 00:00:00+00:00,110,10,692,462
2024-10-22 00:00:00+00:00,190,15,670,411
2024-10-23 00:00:00+00:00,198,9,674,370
