time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-17 00:00:00+00:00,11.0,3.0,720,554
2024-11-18 00:00:00+00:00,54.0,6.0,783,598
2024-11-19 00:00:00+00:00,157.0,14.0,743,539
2024-11-20 00:00:00+00:00,109.0,10.0,676,523
2024-11-21 00:00:00+00:00,200.0,15.0,927,545
2024-11-22 00:00:00+00:00,249.0,13.0,622,457
2024-11-23 00:00:00+00:00,22.0,9.0,521,410
2024-11-24 00:00:00+00:00,38.0,3.0,575,476
2024-11-25 00:00:00+00:00,162.0,8.0,717,506
2024-11-26 00:00:00+00:00,130.0,14.0,610,417
2024-11-27 00:00:00+00:00,69.0,11.0,601,397
2024-11-28 00:00:00+00:00,11.0,6.0,555,460
2024-11-29 00:00:00+00:00,5.0,4.0,500,380
2024-11-30 00:00:00+00:00,,,388,329
