time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-19 00:00:00+00:00,76.0,11.0,183,50
2024-12-20 00:00:00+00:00,108.0,7.0,126,45
2024-12-21 00:00:00+00:00,2.0,1.0,47,30
2024-12-22 00:00:00+00:00,,,133,27
2024-12-23 00:00:00+00:00,175.0,11.0,175,48
2024-12-24 00:00:00+00:00,27.0,5.0,143,33
2024-12-25 00:00:00+00:00,6.0,5.0,49,22
2024-12-26 00:00:00+00:00,64.0,5.0,89,62
2024-12-27 00:00:00+00:00,6.0,4.0,58,40
2024-12-28 00:00:00+00:00,5.0,2.0,33,17
2024-12-29 00:00:00+00:00,2.0,1.0,33,22
2024-12-30 00:00:00+00:00,27.0,2.0,47,28
2024-12-31 00:00:00+00:00,7.0,5.0,47,29
2025-01-01 00:00:00+00:00,2.0,1.0,36,27
