time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-21 00:00:00+00:00,225,51,329,221
2025-02-22 00:00:00+00:00,51,12,289,208
2025-02-23 00:00:00+00:00,35,15,276,232
2025-02-24 00:00:00+00:00,70,32,284,216
2025-02-25 00:00:00+00:00,181,50,378,245
2025-02-26 00:00:00+00:00,259,63,294,219
2025-02-27 00:00:00+00:00,140,34,262,217
2025-02-28 00:00:00+00:00,66,21,371,286
2025-03-01 00:00:00+00:00,92,18,295,207
2025-03-02 00:00:00+00:00,19,8,670,536
2025-03-03 00:00:00+00:00,201,41,726,557
2025-03-04 00:00:00+00:00,401,135,492,330
2025-03-05 00:00:00+00:00,434,94,560,318
2025-03-06 00:00:00+00:00,454,100,532,343
