time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,115,22,402.0,259.0
2025-01-31 00:00:00+00:00,106,29,453.0,267.0
2025-02-01 00:00:00+00:00,52,44,392.0,250.0
2025-02-02 00:00:00+00:00,27,6,369.0,295.0
2025-02-03 00:00:00+00:00,81,16,390.0,306.0
2025-02-04 00:00:00+00:00,149,28,408.0,301.0
2025-02-05 00:00:00+00:00,404,70,489.0,310.0
2025-02-06 00:00:00+00:00,404,30,381.0,255.0
2025-02-07 00:00:00+00:00,156,37,407.0,263.0
2025-02-08 00:00:00+00:00,88,27,372.0,238.0
2025-02-09 00:00:00+00:00,9,6,301.0,241.0
2025-02-10 00:00:00+00:00,375,54,496.0,369.0
2025-02-11 00:00:00+00:00,223,55,374.0,240.0
2025-02-12 00:00:00+00:00,310,57,,
