time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-26 00:00:00+00:00,26,7,22,18
2025-04-27 00:00:00+00:00,38,9,37,18
2025-04-28 00:00:00+00:00,62,14,114,30
2025-04-29 00:00:00+00:00,79,20,113,36
2025-04-30 00:00:00+00:00,79,35,178,33
2025-05-01 00:00:00+00:00,107,55,449,32
2025-05-02 00:00:00+00:00,71,29,3721,36
2025-05-03 00:00:00+00:00,34,12,336,17
2025-05-04 00:00:00+00:00,46,26,95,19
2025-05-05 00:00:00+00:00,67,25,160,47
2025-05-06 00:00:00+00:00,168,42,136,34
2025-05-07 00:00:00+00:00,71,32,41,21
2025-05-08 00:00:00+00:00,60,25,98,25
2025-05-09 00:00:00+00:00,51,9,75,29
