time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-18 00:00:00+00:00,59,26,48,24
2025-06-19 00:00:00+00:00,55,20,103,42
2025-06-20 00:00:00+00:00,56,30,79,34
2025-06-21 00:00:00+00:00,51,22,21,16
2025-06-22 00:00:00+00:00,40,10,107,20
2025-06-23 00:00:00+00:00,66,26,73,30
2025-06-24 00:00:00+00:00,47,17,65,25
2025-06-25 00:00:00+00:00,44,16,87,31
2025-06-26 00:00:00+00:00,89,45,74,30
2025-06-27 00:00:00+00:00,64,28,95,35
2025-06-28 00:00:00+00:00,37,16,34,23
2025-06-29 00:00:00+00:00,49,15,51,27
2025-06-30 00:00:00+00:00,62,18,118,34
2025-07-01 00:00:00+00:00,26,12,51,33
