time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-03 00:00:00+00:00,169,11,656,506
2024-12-04 00:00:00+00:00,163,14,708,510
2024-12-05 00:00:00+00:00,149,10,820,578
2024-12-06 00:00:00+00:00,59,5,605,491
2024-12-07 00:00:00+00:00,4,4,486,398
2024-12-08 00:00:00+00:00,6,3,497,415
2024-12-09 00:00:00+00:00,278,10,604,468
2024-12-10 00:00:00+00:00,226,17,870,571
2024-12-11 00:00:00+00:00,118,15,592,385
2024-12-12 00:00:00+00:00,113,9,436,220
2024-12-13 00:00:00+00:00,209,13,205,86
2024-12-14 00:00:00+00:00,35,5,64,38
2024-12-15 00:00:00+00:00,14,5,52,34
2024-12-16 00:00:00+00:00,44,8,195,80
