url_path,views_total,views_unique
/nucleuscloud/neosync,374,217
/nucleuscloud/neosync/issues,38,12
/nucleuscloud/neosync/tree/main/backend,21,11
/nucleuscloud/neosync/blob/main/compose.yml,20,17
/nucleuscloud/neosync/tree/main,19,9
/nucleuscloud/neosync/commits,14,6
/nucleuscloud/neosync/blob/main/worker/pkg/workflows/ee/piidetect/workflows/table/activities/activities.go,14,1
/nucleuscloud/neosync/tree/main/worker,12,6
/nucleuscloud/neosync/tree/main/compose,11,7
/nucleuscloud/neosync/blob/main/backend/sql/postgresql/models/models.go,11,3
