time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-20 00:00:00+00:00,272,80,443,272
2025-03-21 00:00:00+00:00,228,67,496,281
2025-03-22 00:00:00+00:00,29,14,324,275
2025-03-23 00:00:00+00:00,34,11,337,276
2025-03-24 00:00:00+00:00,320,63,446,312
2025-03-25 00:00:00+00:00,380,62,510,318
2025-03-26 00:00:00+00:00,195,39,313,203
2025-03-27 00:00:00+00:00,374,50,222,52
2025-03-28 00:00:00+00:00,682,113,390,78
2025-03-29 00:00:00+00:00,26,12,44,28
2025-03-30 00:00:00+00:00,30,9,39,16
2025-03-31 00:00:00+00:00,329,61,314,181
2025-04-01 00:00:00+00:00,239,50,542,347
2025-04-02 00:00:00+00:00,177,53,447,288
