time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-08 00:00:00+00:00,6,3,497,415
2024-12-09 00:00:00+00:00,278,10,604,468
2024-12-10 00:00:00+00:00,226,17,870,571
2024-12-11 00:00:00+00:00,118,15,592,385
2024-12-12 00:00:00+00:00,113,9,436,220
2024-12-13 00:00:00+00:00,209,13,205,86
2024-12-14 00:00:00+00:00,35,5,64,38
2024-12-15 00:00:00+00:00,14,5,52,34
2024-12-16 00:00:00+00:00,110,10,203,80
2024-12-17 00:00:00+00:00,117,11,191,74
2024-12-18 00:00:00+00:00,246,9,154,53
2024-12-19 00:00:00+00:00,76,11,183,50
2024-12-20 00:00:00+00:00,108,7,126,45
2024-12-21 00:00:00+00:00,2,1,43,26
