url_path,views_total,views_unique
/nucleuscloud/neosync,415,231
/nucleuscloud/neosync/issues,72,13
/nucleuscloud/neosync/tree/main/backend,30,12
/nucleuscloud/neosync/tree/main,24,11
/nucleuscloud/neosync/blob/main/compose.yml,20,16
/nucleuscloud/neosync/tree/main/worker,18,7
/nucleuscloud/neosync/blob/main/worker/pkg/workflows/ee/piidetect/workflows/table/activities/activities.go,14,1
/nucleuscloud/neosync/blob/main/backend/pkg/sqlconnect/sql-connector.go,12,2
/nucleuscloud/neosync/commits,11,6
/nucleuscloud/neosync/blob/main/worker/internal/cmds/worker/serve/serve.go,11,2
