time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-26 00:00:00+00:00,89,45,74,30
2025-06-27 00:00:00+00:00,64,28,95,35
2025-06-28 00:00:00+00:00,37,16,34,23
2025-06-29 00:00:00+00:00,49,15,51,27
2025-06-30 00:00:00+00:00,62,18,118,34
2025-07-01 00:00:00+00:00,40,18,56,35
2025-07-02 00:00:00+00:00,45,13,122,28
2025-07-03 00:00:00+00:00,56,23,64,35
2025-07-04 00:00:00+00:00,59,28,73,30
2025-07-05 00:00:00+00:00,43,10,54,13
2025-07-06 00:00:00+00:00,36,12,20,14
2025-07-07 00:00:00+00:00,60,24,140,38
2025-07-08 00:00:00+00:00,44,17,139,32
2025-07-09 00:00:00+00:00,25,11,53,29
