time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-20 00:00:00+00:00,2.0,2.0,580,443
2024-10-21 00:00:00+00:00,110.0,10.0,692,462
2024-10-22 00:00:00+00:00,190.0,15.0,670,411
2024-10-23 00:00:00+00:00,272.0,13.0,775,399
2024-10-24 00:00:00+00:00,301.0,28.0,894,446
2024-10-25 00:00:00+00:00,173.0,12.0,627,397
2024-10-26 00:00:00+00:00,16.0,5.0,614,380
2024-10-27 00:00:00+00:00,38.0,6.0,514,399
2024-10-28 00:00:00+00:00,190.0,10.0,709,433
2024-10-29 00:00:00+00:00,142.0,12.0,751,440
2024-10-30 00:00:00+00:00,114.0,7.0,627,421
2024-10-31 00:00:00+00:00,327.0,13.0,723,450
2024-11-01 00:00:00+00:00,254.0,8.0,606,446
2024-11-02 00:00:00+00:00,,,477,363
