time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-20 00:00:00+00:00,45,10,54,20
2025-04-21 00:00:00+00:00,74,20,68,28
2025-04-22 00:00:00+00:00,48,22,74,35
2025-04-23 00:00:00+00:00,73,23,69,32
2025-04-24 00:00:00+00:00,70,18,163,46
2025-04-25 00:00:00+00:00,53,15,85,26
2025-04-26 00:00:00+00:00,26,7,22,18
2025-04-27 00:00:00+00:00,38,9,37,18
2025-04-28 00:00:00+00:00,62,14,114,30
2025-04-29 00:00:00+00:00,79,20,113,36
2025-04-30 00:00:00+00:00,79,35,178,33
2025-05-01 00:00:00+00:00,107,55,449,32
2025-05-02 00:00:00+00:00,71,29,3721,36
2025-05-03 00:00:00+00:00,25,7,324,16
