time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-11 00:00:00+00:00,334,69,555,340
2025-03-12 00:00:00+00:00,428,80,492,339
2025-03-13 00:00:00+00:00,365,81,607,462
2025-03-14 00:00:00+00:00,322,71,531,406
2025-03-15 00:00:00+00:00,58,13,293,230
2025-03-16 00:00:00+00:00,45,9,328,254
2025-03-17 00:00:00+00:00,256,61,439,292
2025-03-18 00:00:00+00:00,257,50,541,299
2025-03-19 00:00:00+00:00,424,88,572,259
2025-03-20 00:00:00+00:00,272,80,443,272
2025-03-21 00:00:00+00:00,228,67,496,281
2025-03-22 00:00:00+00:00,29,14,324,275
2025-03-23 00:00:00+00:00,34,11,337,276
2025-03-24 00:00:00+00:00,166,48,400,288
