time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-31 00:00:00+00:00,106.0,29.0,453,267
2025-02-01 00:00:00+00:00,52.0,44.0,392,250
2025-02-02 00:00:00+00:00,27.0,6.0,369,295
2025-02-03 00:00:00+00:00,81.0,16.0,390,306
2025-02-04 00:00:00+00:00,149.0,28.0,408,301
2025-02-05 00:00:00+00:00,404.0,70.0,489,310
2025-02-06 00:00:00+00:00,404.0,30.0,381,255
2025-02-07 00:00:00+00:00,156.0,37.0,407,263
2025-02-08 00:00:00+00:00,88.0,27.0,372,238
2025-02-09 00:00:00+00:00,9.0,6.0,301,241
2025-02-10 00:00:00+00:00,375.0,54.0,496,369
2025-02-11 00:00:00+00:00,154.0,43.0,455,294
2025-02-12 00:00:00+00:00,,,418,281
2025-02-13 00:00:00+00:00,163.0,30.0,304,219
