time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-04 00:00:00+00:00,5,2,64,28
2025-01-05 00:00:00+00:00,1,1,244,163
2025-01-06 00:00:00+00:00,212,12,339,152
2025-01-07 00:00:00+00:00,152,14,244,76
2025-01-08 00:00:00+00:00,97,7,198,67
2025-01-09 00:00:00+00:00,256,14,225,70
2025-01-10 00:00:00+00:00,161,8,727,80
2025-01-11 00:00:00+00:00,30,8,65,29
2025-01-12 00:00:00+00:00,4,3,29,27
2025-01-13 00:00:00+00:00,237,15,171,74
2025-01-14 00:00:00+00:00,267,12,178,57
2025-01-15 00:00:00+00:00,123,11,285,58
2025-01-16 00:00:00+00:00,376,18,275,63
2025-01-17 00:00:00+00:00,176,15,178,81
